trial,research_score,val_corr_mean,val_mmc_mean,val_corr_sharpe,val_corr_max_dd,elapsed_s,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,min_child_weight,max_bin,reg_alpha,gamma
0,0.007386072197702509,0.015868593820683473,0.0028185605545589148,1.6127443359108797,-0.006399920128693171,1395.4,5,0.01,0.85,0.4,5.0,20,128,0.0,0.0
1,0.007260747656168723,0.015556405665074602,0.002793854882142482,1.5957260114637783,-0.009401414006437792,875.8,5,0.018679147494991156,0.8829984854528512,0.4595304694689628,2.570883195054889,14,128,0.0,0.0
2,0.007134118915640878,0.015308120617603362,0.002732733383814926,1.4955577074270587,-0.00923272081430837,1892.8,6,0.00514473612752113,0.9424774630404985,0.5413549242801476,2.8148072747694957,15,256,0.0,0.0
3,0.0072713087273431915,0.01563349884761078,0.0027685909702760293,1.5948296943771438,-0.007229473644138951,1697.4,5,0.007486992842700147,0.8529632236805949,0.2988228512282146,3.2005921956584995,21,128,0.0,0.0
4,0.00715095079306504,0.01534600950846961,0.002738226869385659,1.5441210701962969,-0.009560243625147402,1233.8,5,0.011366823448993514,0.7116126031799994,0.4626406981655034,2.6316082737033226,12,128,0.0,0.0
5,0.006683484572182297,0.014143758355655296,0.0026664140733891452,1.308585961285901,-0.015537921288302559,1123.2,4,0.01150463138325229,0.759105895554533,0.30880120823512947,7.4646032265973705,36,64,0.0,0.0
6,0.006710542246410588,0.014130673531312721,0.002715086939155594,1.3193895010198828,-0.01646091919734982,912.7,4,0.017398506612424154,0.8010580262675696,0.37706776410094384,6.142159031993717,29,256,0.0,0.0
7,0.007269284244250922,0.01556345106168442,0.0028031944194790393,1.529340692085177,-0.006669173799571659,1683.3,6,0.007773156673825208,0.9128047344268436,0.596675130982281,4.397409563047795,24,64,0.0,0.0
8,0.006634108414500012,0.014053461930696254,0.0026390719057789586,1.2880084456029675,-0.015641561400227544,1302.2,5,0.008579886549886846,0.8203412348123481,0.3716717006738039,9.602264048597526,33,128,0.0,0.0
9,0.0064480729887066235,0.013704669102013138,0.0025406750815415765,1.2658078337311482,-0.012575713108817665,1431.1,4,0.00542400774570726,0.7928675090430813,0.2542348066358168,4.449854988001075,40,128,0.0,0.0
